2	8	25
0	9	18
0	8	10
1	20	28
0	17	18
2	11	13
0	7	10
0	9	10
3	20	23
3	34	35
2	23	40
3	79	90
2	15	17
3	12	12
2	8	11
0	10	13
0	10	12
3	46	48
1	7	18
3	7	10
2	4	11
0	5	49
0	4	13
3	20	22
0	25	35
3	12	12
1	45	48
1	14	25
3	11	18
1	12	14
1	43	46
0	11	14
0	2	15
0	17	30
0	11	18
3	9	18
2	6	18
1	6	39
3	9	13
3	12	13
3	41	43
1	3	10
1	7	12
0	8	15
0	12	14
2	11	12
3	18	24
2	4	13
3	122	127
0	29	42
3	1	10
3	0	11
1	16	16
2	0	19
3	2	11
1	1	16
0	28	31
1	1	40
2	22	30
0	5	48
1	3	17
2	1	10
3	13	14
0	10	13
2	122	139
2	11	102
0	0	12
2	7	26
2	101	105
3	12	12
2	12	32
1	17	18
2	2	19
0	6	15
2	18	65
0	108	122
2	121	127
1	17	35
1	12	15
0	203	236
2	298	300
1	13	14
1	16	23
3	37	42
2	4	11
0	2	64
3	13	13
3	401	420
3	19	19
1	2	11
3	7	11
3	219	231
3	17	19
1	13	14
0	24	25
0	36	127
1	14	16
3	8	10
0	2	10
0	7	12
1	22	52
2	0	11
3	22	72
1	2	16
1	33	47
3	10	11
0	3	10
0	47	537
0	9	12
0	9	15
1	8	10
0	4	10
0	6	19
3	14	14
3	13	15
2	7	30
0	24	29
0	10	12
3	8	11
1	1135	1154
0	8	11
1	13	14
1	1	13
0	18	27
3	6	36
3	36	44
2	7	15
0	10	13
1	47	48
0	11	16
0	3	12
0	4	10
3	0	37
2	14	16
1	7	16
3	9	10
1	1	10
1	0	14
0	9	17
0	19	21
0	6	11
3	7	87
0	1	35
0	14	26
2	2	19
0	26	41
1	23	40
0	10	12
0	13	17
0	9	11
0	9	10
3	5	13
0	6	11
0	87	120
3	1	18
3	11	12
0	1	10
0	34	36
1	11	21
3	73	80
3	24	30
3	75	77
0	3	11
3	11	12
0	6	10
3	31	34
3	1	10
1	3	11
3	2	12
0	20	28
1	789	971
3	5	14
2	3	12
3	14	17
3	15	18
0	14	38
0	6	18
2	23	44
3	7	13
3	28	39
2	4	24
2	12	16
1	21	49
0	33	47
2	3	10
0	52	119
2	30	68
2	13	44
2	24	26
0	6	12
1	0	10
3	11	12
0	4	10
3	13	20
2	9	10
2	17	22
0	6	10
1	6	21
3	40	46
3	40	42
2	16	18
0	15	17
0	1	16
3	15	22
2	9	12
0	11	15
0	8	11
0	25	33
1	4	15
0	37	40
0	7	10
3	23	29
0	11	40
3	0	10
0	27	72
0	3	29
2	5	21
0	12	13
3	42	51
2	8	21
3	12	14
0	22	38
3	57	58
1	15	19
1	54	65
0	12	15
0	9	16
2	19	26
2	3	14
1	2	14
0	10	12
0	14	16
1	6	10
0	10	13
0	18	31
0	22	23
0	13	49
0	34	57
0	6	13
0	8	17
1	10	10
1	10	10
1	10	10
1	10	11
2	14	18
2	0	12
3	8	11
2	7	14
0	14	22
3	71	78
0	10	19
1	3	31
2	6	10
1	8	21
1	6	11
1	18	20
3	9	11
3	12	13
3	10	18
2	12	44
1	1	16
2	6	10
0	8	13
3	79	81
1	13	19
2	1	28
3	15	16
0	9	10
2	16	250
2	12	14
3	135	139
2	24	50
0	5	36
1	36	36
3	4	10
3	16	18
3	26	27
3	14	14
3	3	15
0	9	17
1	2	24
0	13	27
2	20	21
0	5	11
1	3	17
2	51	54
0	31	40
0	16	22
2	5	11
2	6	12
2	11	25
2	7	18
2	0	20
2	3	11
0	13	16
0	6	28
0	1	13
0	27	33
3	73	84
0	11	35
1	3	29
0	9	30
1	41	45
3	18	18
3	16	17
2	22	23
2	17	18
2	7	11
2	7	10
0	0	19
0	20	21
0	20	25
0	73	121
0	13	24
0	19	24
0	12	32
0	71	81
0	5	18
3	16	17
1	11	14
0	22	23
2	22	51
3	12	13
0	76	94
1	41	71
0	10	14
1	19	36
1	16	21
0	3	14
2	3	21
2	8	13
2	10	13
0	12	14
0	8	17
0	3	22
0	10	11
2	5	12
3	4	10
3	431	445
0	22	22
2	6	16
0	6	12
0	13	20
0	9	12
3	33	35
2	5	17
3	14	21
0	25	29
0	14	16
3	5	12
0	14	18
0	130	286
2	15	24
3	5	19
3	1	11
1	1	15
2	27	66
3	195	231
1	8	10
0	8	14
0	12	13
0	10	10
0	32	42
1	20	26
0	12	12
1	26	42
0	12	19
3	13	19
2	8	10
3	2	14
2	12	12
0	5	15
3	79	84
1	6	18
3	63	64
1	10	13
0	16	16
3	10	14
2	21	46
0	14	22
3	10	11
1	77	87
0	6	21
3	34	40
0	4	10
0	12	13
1	7	31
0	18	32
0	3	11
2	9	13
0	98	103
0	54	62
1	13	37
0	42	102
1	9	10
1	42	45
0	2	34
0	7	10
3	23	27
0	16	18
0	2	14
3	7	24
0	2	11
3	1	42
0	14	20
0	12	21
0	48	51
0	9	13
2	5	87
0	10	12
1	19	24
3	25	25
1	25	26
0	6	10
0	6	11
0	21	36
0	2	11
1	21	32
0	12	16
0	18	21
1	2	11
0	9	10
2	23	33
1	188	197
0	7	10
2	53	55
0	146	162
3	4	22
1	11	19
3	16	16
3	17	24
0	21	29
1	3	12
0	13	91
0	6	10
0	28	28
2	6	49
1	35	36
3	9	20
2	2	26
2	4	15
0	48	62
0	12	18
0	5	10
3	32	32
2	3	29
2	7	31
0	13	14
0	11	13
3	14	21
0	1	13
2	4	22
1	24	34
3	8	26
0	6	10
3	131	138
3	39	39
3	37	38
0	12	20
3	4	11
0	90	104
0	15	21
0	92	104
0	14	14
3	9	25
1	11	15
0	63	76
2	3	37
0	4	13
0	1	20
0	12	13
3	84	88
1	1	11
1	26	30
0	8	20
2	5	17
0	4	31
3	6	17
2	6	11
2	7	10
3	1	10
0	20	26
0	20	20
2	12	25
3	10	14
1	8	14
2	8	86
1	11	13
2	28	34
0	8	16
0	102	111
3	128	134
3	9	12
0	13	18
1	2	16
2	10	40
3	6	16
0	11	14
0	7	10
2	7	31
0	8	11
3	14	15
2	8	37
0	16	19
0	192	220
3	36	36
0	9	12
1	3	16
0	12	13
3	0	10
1	1	37
3	11	11
1	12	13
0	1	20
0	10	12
1	13	17
2	8	11
1	0	43
3	9	10
0	10	12
0	4	10
0	20	20
0	5	17
3	8	11
2	2	11
2	20	132
1	7	10
3	28	29
3	25	27
0	11	12
2	10	12
0	2	10
0	13	23
0	10	14
2	5	70
0	345	400
3	19	20
1	1	21
3	15	17
3	3	11
0	11	20
0	21	23
3	3	14
1	7	12
0	14	17
3	22	25
0	9	11
1	9	20
1	9	30
1	6	11
0	11	20
0	3	10
1	6	39
0	6	35
3	31	38
2	4	17
0	8	10
0	10	11
3	7	17
3	9	10
0	4	10
2	2	15
0	11	17
0	9	11
0	24	150
1	9	11
0	19	42
1	15	17
0	9	17
0	1	10
2	7	24
2	2	11
0	10	11
2	4	54
0	23	28
3	24	25
2	19	20
2	1	12
2	17	17
1	9	10
3	12	12
3	13	13
0	9	10
1	1	18
2	84	114
3	12	12
2	11	21
1	7	10
1	41	43
2	7	11
3	46	46
0	24	25
3	2	12
3	8	10
0	14	17
1	23	32
0	5	14
2	20	42
1	49	127
1	13	22
0	10	15
1	7	12
1	36	62
1	12	22
2	32	142
3	13	13
1	12	15
1	11	14
2	12	13
0	55	64
0	10	12
0	8	14
3	11	21
0	7	10
0	5	10
1	1	19
0	8	10
1	1	30
1	3	19
0	18	36
0	16	16
2	219	221
1	44	80
0	5	10
0	10	19
0	17	30
0	6	11
1	1	16
3	152	153
0	21	28
0	5	22
2	0	10
3	9	11
2	8	31
2	32	36
1	21	26
2	497	573
2	8	17
2	9	11
1	67	68
3	2	10
3	7	21
1	0	19
3	43	46
2	4	14
1	49	49
0	3	20
0	57	57
2	7	10
0	9	12
0	76	126
0	13	24
2	14	21
0	42	48
0	7	11
2	13	21
3	1	23
0	10	13
1	89	119
0	24	27
2	10	17
0	9	16
2	15	19
1	13	20
2	41	147
0	4	12
0	14	20
1	16	19
0	0	18
2	2	22
0	7	10
1	14	19
0	8	10
0	3	13
0	13	14
3	15	109
3	14	15
1	11	17
3	2	10
0	42	48
0	22	29
2	7	28
0	2	11
0	6	10
0	2	13
2	6	10
1	22	23
3	2	15
0	8	10
1	5	12
0	42	46
2	5	13
0	13	22
0	2	10
0	9	10
2	1	23
2	33	37
2	9	16
3	21	108
1	6	18
3	15	15
1	4	20
1	7	11
1	7	73
1	0	11
0	5	11
0	9	13
3	88	90
2	0	12
2	7	30
1	7	10
2	7	10
3	11	13
2	4	33
0	3	27
2	21	22
0	22	26
0	32	35
3	89	96
1	0	17
0	10	10
3	69	73
3	78	79
2	2	13
3	10	13
3	45	49
3	8	19
2	13	18
0	14	31
0	7	11
1	5	15
2	15	15
3	34	36
1	3	73
1	11	12
1	11	11
3	15	22
2	81	84
0	95	104
1	8	11
0	390	426
2	9	17
0	8	11
3	2	16
3	3	10
2	29	32
0	9	14
3	34	35
0	46	51
3	24	24
3	48	49
0	18	19
1	69	85
3	13	13
1	7	13
0	10	13
3	1	23
3	149	159
1	5	27
2	7	10
2	4	11
1	5	17
3	10	11
0	9	12
0	12	24
0	13	16
2	12	13
1	42	83
1	1	12
3	55	55
1	28	31
0	23	45
3	10	25
0	48	89
2	7	38
2	8	14
2	11	36
0	1	10
0	6	11
0	5	26
2	25	42
2	9	11
1	1	10
1	19	30
0	32	37
2	11	17
0	9	12
3	10	12
3	10	11
2	3	14
2	2	10
2	8	23
0	70	124
2	10	12
2	35	44
1	12	17
1	643	690
0	9	13
0	7	10
0	4	13
0	13	24
0	0	19
0	12	12
3	2	10
1	16	25
0	52	109
0	2	18
0	15	22
1	11	21
0	1	21
0	7	10
1	6	11
0	7	15
1	15	21
0	6	22
0	5	24
1	3	13
3	190	190
3	12	24
2	4	10
2	1	30
0	11	13
3	38	47
0	105	128
0	20	50
1	596	610
2	19	29
0	11	14
2	7	30
1	8	16
2	3	11
3	11	12
3	9	10
3	2	15
1	29	35
2	118	129
2	11	12
2	10	13
1	8	12
0	13	22
0	2	12
2	9	12
2	4	20
0	2	16
0	10	14
1	7	10
3	13	18
3	93	93
0	19	22
2	7	11
2	9	11
1	413	464
0	12	23
1	23	37
3	136	142
3	2	28
2	91	112
3	15	15
2	10	15
1	8	37
1	14	26
1	0	12
0	9	10
3	10	11
0	38	41
2	8	10
0	7	10
1	4	13
3	12	14
0	16	16
3	1	38
3	1	13
0	8	10
0	9	18
3	3	13
0	1	25
1	3	11
1	208	243
0	16	19
0	2	15
